uf,municipio,data_referencia,ano,mes,total_violencia_grave,homicidio_doloso,latrocinio,tentativa_homicidio,lesao_corporal_seguida_morte,feminicidio
PR,ABATIA,2015-01-01,2015,1,0,0,0,0,0,0
PR,ABATIA,2015-02-01,2015,2,0,0,0,0,0,0
PR,ABATIA,2015-03-01,2015,3,0,0,0,0,0,0
PR,ABATIA,2015-04-01,2015,4,0,0,0,0,0,0
PR,ABATIA,2015-05-01,2015,5,0,0,0,0,0,0
PR,ABATIA,2015-06-01,2015,6,0,0,0,0,0,0
PR,ABATIA,2015-07-01,2015,7,0,0,0,0,0,0
PR,ABATIA,2015-08-01,2015,8,0,0,0,0,0,0
PR,ABATIA,2015-09-01,2015,9,0,0,0,0,0,0
PR,ABATIA,2015-10-01,2015,10,0,0,0,0,0,0
PR,ABATIA,2015-11-01,2015,11,0,0,0,0,0,0
PR,ABATIA,2015-12-01,2015,12,0,0,0,0,0,0
PR,ABATIA,2016-01-01,2016,1,0,0,0,0,0,0
PR,ABATIA,2016-02-01,2016,2,0,0,0,0,0,0
PR,ABATIA,2016-03-01,2016,3,0,0,0,0,0,0
PR,ABATIA,2016-04-01,2016,4,0,0,0,0,0,0
PR,ABATIA,2016-05-01,2016,5,0,0,0,0,0,0
PR,ABATIA,2016-06-01,2016,6,0,0,0,0,0,0
PR,ABATIA,2016-07-01,2016,7,0,0,0,0,0,0
PR,ABATIA,2016-08-01,2016,8,0,0,0,0,0,0
PR,ABATIA,2016-09-01,2016,9,0,0,0,0,0,0
PR,ABATIA,2016-10-01,2016,10,0,0,0,0,0,0
PR,ABATIA,2016-11-01,2016,11,0,0,0,0,0,0
PR,ABATIA,2016-12-01,2016,12,0,0,0,0,0,0
PR,ABATIA,2017-01-01,2017,1,0,0,0,0,0,0
PR,ABATIA,2017-02-01,2017,2,1,1,0,0,0,0
PR,ABATIA,2017-03-01,2017,3,0,0,0,0,0,0
PR,ABATIA,2017-04-01,2017,4,0,0,0,0,0,0
PR,ABATIA,2017-05-01,2017,5,0,0,0,0,0,0
PR,ABATIA,2017-06-01,2017,6,0,0,0,0,0,0
PR,ABATIA,2017-07-01,2017,7,0,0,0,0,0,0
PR,ABATIA,2017-08-01,2017,8,0,0,0,0,0,0
PR,ABATIA,2017-09-01,2017,9,0,0,0,0,0,0
PR,ABATIA,2017-10-01,2017,10,0,0,0,0,0,0
PR,ABATIA,2017-11-01,2017,11,0,0,0,0,0,0
PR,ABATIA,2017-12-01,2017,12,0,0,0,0,0,0
PR,ABATIA,2018-01-01,2018,1,0,0,0,0,0,0
PR,ABATIA,2018-02-01,2018,2,0,0,0,0,0,0
PR,ABATIA,2018-03-01,2018,3,0,0,0,0,0,0
PR,ABATIA,2018-04-01,2018,4,0,0,0,0,0,0
PR,ABATIA,2018-05-01,2018,5,0,0,0,0,0,0
